record_id,title,document_type,technology_domain,incident_type,severity,region,affected_system,root_cause,resolution_status,document_owner,last_updated,description,resolution_steps,lessons_learned,tags
INC-0030,"Configuration Issue on SCADA Gateway G-97 (SCADA, Central)",Incident Closure,SCADA,Configuration Issue,S3,Central,SCADA Gateway G-97,Hardware Failure,Resolved,SCADA Operations Team,2026-10-12,A SCADA configuration issue was observed on SCADA Gateway G-97 in the Central region. Operations reported post-change misbehaviour with operators reporting unexpected state. Key indicators included polling interval behaviour and RTU heartbeat anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,scada|configuration-issue|hardware
INC-0031,"Polling Failure on Rectifier P-70 (Power Systems, Eastern)",Incident Closure,Power Systems,Polling Failure,S1,Eastern,Rectifier P-70,Vendor Bug,Resolved,Power Infrastructure Team,2025-04-25,A Power Systems polling failure was observed on Rectifier P-70 in the Eastern region. Operations reported intermittent telemetry loss and repeated timeout alarms in the NMS. Key indicators included AC mains behaviour and battery autonomy anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,power systems|polling-failure|vendor
INC-0032,"Alarm on RTU R-85 (SCADA, Western)",Incident Closure,SCADA,Alarm,S1,Western,RTU R-85,Firmware Issue,Resolved,SCADA Operations Team,2025-11-09,A SCADA alarm was observed on RTU R-85 in the Western region. Operations reported persistent critical alarm with no traffic impact yet reported. Key indicators included control loop behaviour and RTU heartbeat anomalies. The condition persisted across two polling cycles before triage began.,"Downgrade to the last known-good firmware, freeze further upgrades, and validate counters before reattempting.",Add a pre-change checklist item for this parameter family.,scada|alarm|firmware
INC-0033,"Synchronization Failure on OLT O-12 (Access Network, Western)",Incident Closure,Access Network,Synchronization Failure,S1,Western,OLT O-12,Vendor Bug,Workaround,Access Engineering Team,2024-01-22,A Access Network synchronization failure was observed on OLT O-12 in the Western region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included UE attach behaviour and PRACH anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Update the diagnostic playbook with the first-action step used here.,access network|synchronization-failure|vendor
INC-0034,"Synchronization Failure on MW Radio MR-46 (Microwave, Eastern)",Incident Closure,Microwave,Synchronization Failure,S3,Eastern,MW Radio MR-46,Link Failure,Resolved,Microwave Team,2024-02-05,A Microwave synchronization failure was observed on MW Radio MR-46 in the Eastern region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included RSL behaviour and modulation anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Update the diagnostic playbook with the first-action step used here.,microwave|synchronization-failure|link
INC-0035,"Configuration Issue on MSC M-67 (Core Network, Central)",Incident Closure,Core Network,Configuration Issue,S2,Central,MSC M-67,Unknown,Resolved,Core Mobility Team,2026-12-10,A Core Network configuration issue was observed on MSC M-67 in the Central region. Operations reported post-change misbehaviour with operators reporting unexpected state. Key indicators included bearer setup behaviour and attach procedure anomalies. The condition persisted across two polling cycles before triage began.,"Capture diagnostic bundle, escalate to L3 engineering, and monitor under controlled conditions.",Validate configuration changes in a test profile before production deployment.,core network|configuration-issue|unknown
INC-0036,"Degradation on UPS U-63 (Power Systems, Northern)",Incident Closure,Power Systems,Degradation,S1,Northern,UPS U-63,Power Issue,Resolved,Power Infrastructure Team,2026-12-24,A Power Systems degradation was observed on UPS U-63 in the Northern region. Operations reported throughput degradation with rising error counters. Key indicators included DC bus behaviour and AC mains anomalies. The condition persisted across two polling cycles before triage began.,"Confirm rectifier health, restore AC mains via genset if required, and verify battery autonomy before clearing.",Validate configuration changes in a test profile before production deployment.,power systems|degradation|power
INC-0037,"Performance Issue on Fault Manager FM-25 (NMS/OSS, Central)",Incident Closure,NMS/OSS,Performance Issue,S3,Central,Fault Manager FM-25,Capacity Saturation,Resolved,NMS Engineering Team,2026-06-26,A NMS/OSS performance issue was observed on Fault Manager FM-25 in the Central region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included trap forwarding behaviour and polling cycle anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Record vendor case number in the closure form so future searches resolve faster.,nms-oss|performance-issue|capacity
INC-0038,"Degradation on Core Router CR-45 (IP/MPLS, Western)",Incident Closure,IP/MPLS,Degradation,S2,Western,Core Router CR-45,Capacity Saturation,Resolved,IP Backbone Team,2025-08-06,A IP/MPLS degradation was observed on Core Router CR-45 in the Western region. Operations reported throughput degradation with rising error counters. Key indicators included LSP behaviour and routing convergence anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Add a pre-change checklist item for this parameter family.,ip-mpls|degradation|capacity
INC-0039,"Polling Failure on NMS Node N-80 (NMS/OSS, Central)",Incident Closure,NMS/OSS,Polling Failure,S1,Central,NMS Node N-80,Vendor Bug,Workaround,NMS Engineering Team,2024-10-26,A NMS/OSS polling failure was observed on NMS Node N-80 in the Central region. Operations reported intermittent telemetry loss and repeated timeout alarms in the NMS. Key indicators included trap forwarding behaviour and alarm correlation anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Tighten the stale-record review threshold for this technology domain.,nms-oss|polling-failure|vendor
INC-0040,"Performance Issue on BTS B-57 (Access Network, Western)",Incident Closure,Access Network,Performance Issue,S3,Western,BTS B-57,Configuration Error,Under Review,Access Engineering Team,2026-07-17,A Access Network performance issue was observed on BTS B-57 in the Western region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included RF carrier behaviour and PON splitter anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Update the diagnostic playbook with the first-action step used here.,access network|performance-issue|configuration
INC-0041,"Configuration Issue on OTN Shelf OTN-2 (DWDM, Southern)",Incident Closure,DWDM,Configuration Issue,S3,Southern,OTN Shelf OTN-2,Capacity Saturation,Archived,Optical Transport Team,2024-10-18,A DWDM configuration issue was observed on OTN Shelf OTN-2 in the Southern region. Operations reported post-change misbehaviour with operators reporting unexpected state. Key indicators included optical channel behaviour and wavelength anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,dwdm|configuration-issue|capacity
INC-0042,"Alarm on eNodeB E-78 (Access Network, Northern)",Incident Closure,Access Network,Alarm,S3,Northern,eNodeB E-78,Configuration Error,Resolved,Access Engineering Team,2025-11-01,A Access Network alarm was observed on eNodeB E-78 in the Northern region. Operations reported persistent critical alarm with no traffic impact yet reported. Key indicators included RF carrier behaviour and PRACH anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Record vendor case number in the closure form so future searches resolve faster.,access network|alarm|configuration
INC-0043,"Performance Issue on Router R-39 (IP/MPLS, Western)",Incident Closure,IP/MPLS,Performance Issue,S3,Western,Router R-39,Capacity Saturation,Resolved,IP Backbone Team,2025-09-14,A IP/MPLS performance issue was observed on Router R-39 in the Western region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included LSP behaviour and MPLS label anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Tighten the stale-record review threshold for this technology domain.,ip-mpls|performance-issue|capacity
INC-0044,"Synchronization Failure on Core Router CR-1 (IP/MPLS, Western)",Incident Closure,IP/MPLS,Synchronization Failure,S3,Western,Core Router CR-1,Vendor Bug,Resolved,IP Backbone Team,2025-02-22,A IP/MPLS synchronization failure was observed on Core Router CR-1 in the Western region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included BGP session behaviour and VRF anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Validate configuration changes in a test profile before production deployment.,ip-mpls|synchronization-failure|vendor
INC-0045,"Performance Issue on MW Radio MR-78 (Microwave, Eastern)",Incident Closure,Microwave,Performance Issue,S1,Eastern,MW Radio MR-78,Hardware Failure,Resolved,Microwave Team,2025-01-11,A Microwave performance issue was observed on MW Radio MR-78 in the Eastern region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included RSL behaviour and ATPC anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Update the diagnostic playbook with the first-action step used here.,microwave|performance-issue|hardware
INC-0046,"Configuration Issue on Core Router CR-17 (IP/MPLS, Southern)",Incident Closure,IP/MPLS,Configuration Issue,S2,Southern,Core Router CR-17,Link Failure,Resolved,IP Backbone Team,2025-03-15,A IP/MPLS configuration issue was observed on Core Router CR-17 in the Southern region. Operations reported post-change misbehaviour with operators reporting unexpected state. Key indicators included VRF behaviour and BGP session anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Update the diagnostic playbook with the first-action step used here.,ip-mpls|configuration-issue|link
INC-0047,"Connectivity Loss on RTU R-41 (SCADA, Northern)",Incident Closure,SCADA,Connectivity Loss,S3,Northern,RTU R-41,Configuration Error,Resolved,SCADA Operations Team,2026-06-12,A SCADA connectivity loss was observed on RTU R-41 in the Northern region. Operations reported loss of reachability between segments while interfaces remain up. Key indicators included RTU heartbeat behaviour and DNP3 frame anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Tighten the stale-record review threshold for this technology domain.,scada|connectivity-loss|configuration
INC-0048,"Outage on OTN Shelf OTN-35 (DWDM, Western)",Incident Closure,DWDM,Outage,S3,Western,OTN Shelf OTN-35,Link Failure,Resolved,Optical Transport Team,2024-11-02,A DWDM outage was observed on OTN Shelf OTN-35 in the Western region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included amplifier gain behaviour and optical channel anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Add a pre-change checklist item for this parameter family.,dwdm|outage|link
INC-0049,"Alarm on MW Link MW-99 (Microwave, Southern)",Incident Closure,Microwave,Alarm,S3,Southern,MW Link MW-99,Configuration Error,Resolved,Microwave Team,2024-07-25,A Microwave alarm was observed on MW Link MW-99 in the Southern region. Operations reported persistent critical alarm with no traffic impact yet reported. Key indicators included antenna alignment behaviour and modulation anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Update the diagnostic playbook with the first-action step used here.,microwave|alarm|configuration
INC-0050,"Outage on Rectifier P-72 (Power Systems, Eastern)",Incident Closure,Power Systems,Outage,S3,Eastern,Rectifier P-72,Firmware Issue,Resolved,Power Infrastructure Team,2025-02-27,A Power Systems outage was observed on Rectifier P-72 in the Eastern region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included DC bus behaviour and AC mains anomalies. The condition persisted across two polling cycles before triage began.,"Downgrade to the last known-good firmware, freeze further upgrades, and validate counters before reattempting.",Tighten the stale-record review threshold for this technology domain.,power systems|outage|firmware
